id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_days_active,air_conditioning,bbq,balcony,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,internet,long_term_stays,private_entrance,time_since_first_review,time_since_last_review
219532,2011-08-30,within an hour,100%,0.0,8.0,1.0,Fremont,Other neighborhoods,House,Entire home/apt,6,1.5,3.0,4.0,260,30,1125,302,89,2012-05-19,80-94/100,10/10,9/10,10/10,10/10,9/10,9/10,0,3502.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-6 months
224763,2013-08-18,within a few hours,90-99%,0.0,4.0,1.0,Belltown,Downtown,Apartment,Entire home/apt,4,1.0,1.0,1.0,159,2,365,338,124,2012-01-30,80-94/100,10/10,10/10,10/10,10/10,10/10,9/10,0,2783.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
226536,2010-08-22,within an hour,100%,1.0,1.0,1.0,Lawton Park,Magnolia,Other,Private room,2,1.0,1.0,1.0,41,1,1125,200,218,2011-11-13,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,3875.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,1+ year
226677,2009-08-09,within an hour,100%,1.0,8.0,1.0,Mid-Beacon Hill,Beacon Hill,Other,Private room,2,3.0,1.0,1.0,45,2,280,364,166,2011-11-07,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,4253.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
231097,2011-08-18,within an hour,100%,1.0,1.0,1.0,Matthews Beach,Lake City,Other,Private room,2,1.0,1.0,1.0,53,3,21,0,167,2011-10-03,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3514.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,1+ year
233502,2011-09-27,unknown,unknown,0.0,2.0,1.0,North Admiral,West Seattle,Other,Private room,2,1.0,1.0,1.0,60,30,365,46,1,2012-06-06,no reviews,0-8/10,0-8/10,10/10,10/10,10/10,10/10,0,3474.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
240920,2011-08-09,unknown,unknown,0.0,1.0,1.0,Wallingford,Other neighborhoods,Other,Private room,3,1.0,2.0,3.0,80,30,120,87,18,2012-08-01,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,3523.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
241016,2011-08-11,within a day,100%,0.0,3.0,1.0,North Queen Anne,Queen Anne,House,Entire home/apt,5,1.0,3.0,3.0,215,30,60,184,103,2013-12-10,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0,3521.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
241032,2011-08-11,within a day,100%,0.0,3.0,1.0,West Queen Anne,Queen Anne,Apartment,Entire home/apt,4,1.0,1.0,1.0,165,30,365,365,299,2011-11-01,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0,3521.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
254340,2011-10-26,within a day,100%,1.0,1.0,1.0,Phinney Ridge,Other neighborhoods,Apartment,Entire home/apt,2,1.0,1.0,1.0,85,30,180,106,161,2011-12-12,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3445.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4+ years,1+ year
