,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
306,Harrison - Denny-Blaine,47.62359284893102,-122.28720241132044,Teriyaki Bowl,47.62632739005447,-122.29196967459684,Asian Restaurant
311,Minor,47.60882957306102,-122.30920292145508,701 Coffee,47.60814058922751,-122.30297573762064,Café
316,Leschi,47.60001519482449,-122.29112399704871,Leschi Food Mart  ( Leschi Market ),47.60190346646864,-122.28538592643214,Grocery Store
318,Leschi,47.60001519482449,-122.29112399704871,BluWater Bistro - Leschi,47.601827050705566,-122.28510086113003,American Restaurant
328,Mann,47.61174488923975,-122.29937930409292,Twilight Exit,47.60817480431591,-122.29945382590196,Bar
329,Mann,47.61174488923975,-122.29937930409292,Cafe Selam,47.60786326046941,-122.29730498390884,Ethiopian Restaurant
330,Mann,47.61174488923975,-122.29937930409292,adey abeba,47.612735,-122.303843,Ethiopian Restaurant
332,Mann,47.61174488923975,-122.29937930409292,Cherry Street Thai,47.60806193949318,-122.29655615650933,Thai Restaurant
336,Mann,47.61174488923975,-122.29937930409292,Grocery Outlet,47.6124193,-122.2958205,Grocery Store
337,Mann,47.61174488923975,-122.29937930409292,The Neighbor Lady,47.61309048229276,-122.30216287864693,Bar
339,Mann,47.61174488923975,-122.29937930409292,Meskel Ethiopian Restaurant,47.607904187989526,-122.2986355255055,Ethiopian Restaurant
352,Atlantic,47.59357853472584,-122.30386453899332,San Fernando Roasted Peruvian Chicken,47.593940557006746,-122.30985713383448,South American Restaurant
358,Atlantic,47.59357853472584,-122.30386453899332,Café Weekend,47.594621,-122.30963,Café
367,Pike-Market,47.60945579069119,-122.34231358527808,JarrBar,47.60829164988336,-122.3410413650964,Spanish Restaurant
368,Pike-Market,47.60945579069119,-122.34231358527808,Rachel's Ginger Beer,47.6096483317265,-122.34142532549396,Cocktail Bar
371,Pike-Market,47.60945579069119,-122.34231358527808,Pike Place Chowder,47.609424244253056,-122.34115260010437,Seafood Restaurant
374,Pike-Market,47.60945579069119,-122.34231358527808,The Pink Door,47.61021902010718,-122.34257535965538,Italian Restaurant
376,Pike-Market,47.60945579069119,-122.34231358527808,Conversation,47.61087915638172,-122.34109997749329,New American Restaurant
377,Pike-Market,47.60945579069119,-122.34231358527808,Cafe Campagne,47.60965387058825,-122.34148136820502,French Restaurant
379,Pike-Market,47.60945579069119,-122.34231358527808,Sushi Kashiba,47.6099251,-122.3415442,Sushi Restaurant
380,Pike-Market,47.60945579069119,-122.34231358527808,Turkish Delight,47.610304270667775,-122.34328984504724,Mediterranean Restaurant
382,Pike-Market,47.60945579069119,-122.34231358527808,Oriental Mart,47.60891466943159,-122.34051646497169,Filipino Restaurant
383,Pike-Market,47.60945579069119,-122.34231358527808,Market Grill,47.60889700598648,-122.34101077483136,Seafood Restaurant
391,Pike-Market,47.60945579069119,-122.34231358527808,Miss Cafe,47.609507,-122.340975,Turkish Restaurant
392,Belltown,47.61551383267263,-122.34425395558036,G.H. Pasta Co.,47.61673851175632,-122.34227607219457,Restaurant
398,Belltown,47.61551383267263,-122.34425395558036,Shiro's,47.61478173286192,-122.34738623053931,Sushi Restaurant
401,Belltown,47.61551383267263,-122.34425395558036,Bangrak Market,47.61429060946862,-122.34653057854128,Thai Restaurant
402,Belltown,47.61551383267263,-122.34425395558036,Karaage Setsuna,47.61513335258734,-122.3475800701562,Japanese Restaurant
403,Belltown,47.61551383267263,-122.34425395558036,Umi Sake House,47.61328539995486,-122.3461109522722,Sushi Restaurant
407,Belltown,47.61551383267263,-122.34425395558036,Tavolàta,47.61431309771801,-122.34667656072256,Italian Restaurant
408,Belltown,47.61551383267263,-122.34425395558036,Roquette,47.613381,-122.345922,Bar
409,Belltown,47.61551383267263,-122.34425395558036,La Fontana Siciliana,47.61307798764166,-122.34471489452514,Italian Restaurant
411,Belltown,47.61551383267263,-122.34425395558036,Jupiter,47.613132987972485,-122.34384190602208,Bar
414,Belltown,47.61551383267263,-122.34425395558036,Al Basha Kabab,47.61357985356739,-122.34674977940212,Middle Eastern Restaurant
417,Belltown,47.61551383267263,-122.34425395558036,Wakefield Bar,47.6145257445991,-122.3463081290937,Bar
420,Belltown,47.61551383267263,-122.34425395558036,TeKu Tavern,47.61858580046448,-122.34601080358608,Beer Bar
421,Belltown,47.61551383267263,-122.34425395558036,Navy Strength,47.61535513110767,-122.34809571830388,Cocktail Bar
422,International District,47.5980714409322,-122.32185595286052,Lan Huê,47.59919596087398,-122.32022778202315,Vietnamese Restaurant
423,International District,47.5980714409322,-122.32185595286052,Gourmet Noodle Bowl,47.59622078262566,-122.32242382724108,Hotpot Restaurant
424,International District,47.5980714409322,-122.32185595286052,Green Leaf Vietnamese Restaurant,47.59858422766606,-122.3224386644867,Vietnamese Restaurant
427,International District,47.5980714409322,-122.32185595286052,Kau Kau Barbeque Market,47.59838388345117,-122.3248413522391,Chinese Restaurant
428,International District,47.5980714409322,-122.32185595286052,Chu Minh Tofu And Vegetarian Deli,47.59887052180144,-122.31751898103563,Vietnamese Restaurant
430,International District,47.5980714409322,-122.32185595286052,Ton Kiang Barbeque Noodle House,47.59737565800263,-122.32401727801872,Chinese Restaurant
