,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
77,West Woodland,47.66787434216366,-122.36855994221962,Gilman Park Playfield,47.66729483589208,-122.36958503723145,Park
78,West Woodland,47.66787434216366,-122.36855994221962,Alaskan Dumplings,47.66644354469415,-122.3681315279285,Food Truck
79,West Woodland,47.66787434216366,-122.36855994221962,Game Plan Fitness,47.66892,-122.366401,Gym
80,West Woodland,47.66787434216366,-122.36855994221962,NW 8th and Market,47.66895230605889,-122.36625489942692,Intersection
81,West Woodland,47.66787434216366,-122.36855994221962,Upstairs at Stoup,47.66656225172459,-122.37125955282455,Event Space
82,West Woodland,47.66787434216366,-122.36855994221962,Rain City Video,47.668362918570715,-122.3651792494269,Video Store
83,West Woodland,47.66787434216366,-122.36855994221962,Nacho Mama's Seattle - Food Truck,47.6664919369571,-122.37142532310332,Food Truck
84,West Woodland,47.66787434216366,-122.36855994221962,NW 51st/ 8th Ave NW Bus Stop,47.665556,-122.36621376,Bus Station
85,West Woodland,47.66787434216366,-122.36855994221962,ChicagoWest,47.66507011871767,-122.36930842850319,Food Truck
86,Sunset Hill,47.68131197102023,-122.40027125323503,Sunset Hill Park,47.68381618268326,-122.40063428878783,Park
87,Sunset Hill,47.68131197102023,-122.40027125323503,Shilshole Bay Marina,47.68176084804869,-122.40450969281495,Harbor / Marina
88,Sunset Hill,47.68131197102023,-122.40027125323503,Ballard Kayak,47.68076081409372,-122.40458250045775,Board Shop
89,Sunset Hill,47.68131197102023,-122.40027125323503,Dockside Mail,47.680717471427464,-122.40462210698537,Post Office
90,Sunset Hill,47.68131197102023,-122.40027125323503,Jibe Espresso Bar,47.68061260228124,-122.4046767486141,Coffee Shop
91,Sunset Hill,47.68131197102023,-122.40027125323503,Windworks Sailing,47.680652308668996,-122.40483346363668,Harbor / Marina
92,Sunset Hill,47.68131197102023,-122.40027125323503,Amelia Catamaran Charters,47.680602,-122.40483,Boat or Ferry
93,Sunset Hill,47.68131197102023,-122.40027125323503,Seattle Sailing Club,47.680716,-122.404983,Boat or Ferry
94,Sunset Hill,47.68131197102023,-122.40027125323503,"""P"" Dock Shilshole Marina",47.68356701527075,-122.40406135631812,Harbor / Marina
95,Sunset Hill,47.68131197102023,-122.40027125323503,Shilshole Fuel Dock,47.68050106376667,-122.40571456520499,Gas Station
96,Sunset Hill,47.68131197102023,-122.40027125323503,Webster Park,47.67767251848031,-122.39769421961893,Playground
97,Sunset Hill,47.68131197102023,-122.40027125323503,Leif Erikson Statue,47.67989829553562,-122.4059332383706,Outdoor Sculpture
98,University District,47.65972838933905,-122.30833161801833,Sweet Alchemy Ice Cream,47.65987658496071,-122.31324239129908,Ice Cream Shop
99,University District,47.65972838933905,-122.30833161801833,Pink Gorilla,47.661026018570475,-122.31323842506971,Video Game Store
